timestamp_s,anomaly_score
0.0,0.19625669736103635
0.032,0.1353664610496309
0.064,0.16568962699118672
0.096,0.2299058736501185
0.128,0.15872438558046775
0.16,-0.09850896281853111
0.192,-0.08394275168827836
0.224,-0.11934354354183102
0.256,-0.124608698373263
0.288,-0.1339940781678558
0.32,-0.1290588620128525
0.352,-0.12093554780064925
0.384,-0.1347909936576724
0.416,-0.12248362641455351
0.448,-0.1142623174166823
0.48,-0.13335741521407596
0.512,-0.1313593610804747
0.544,-0.1299305991408855
0.576,-0.13229116619295805
0.608,-0.123594792769666
0.64,-0.13091220472243803
0.672,-0.14534547839067263
0.704,-0.10387572632563496
0.736,-0.031162070830322186
0.768,-0.08354347466037687
0.8,-0.14364147310255915
0.832,-0.1285006155506042
0.864,-0.12529640592786323
0.872,0.00046927255694473313
0.896,0.0993232200253219
0.928,0.09560685012163217
