timestamp_s,metric,value,units
0.0,rms_dbfs,-24.242813110351562,dBFS
0.032,rms_dbfs,-24.236560821533203,dBFS
0.064,rms_dbfs,-24.233531951904297,dBFS
0.096,rms_dbfs,-24.232009887695312,dBFS
0.128,rms_dbfs,-24.64423179626465,dBFS
0.16,rms_dbfs,-24.64352035522461,dBFS
0.192,rms_dbfs,-24.64690399169922,dBFS
0.224,rms_dbfs,-24.652673721313477,dBFS
0.256,rms_dbfs,-24.65827751159668,dBFS
0.288,rms_dbfs,-24.660701751708984,dBFS
0.32,rms_dbfs,-24.659515380859375,dBFS
0.352,rms_dbfs,-24.659069061279297,dBFS
0.384,rms_dbfs,-24.6605224609375,dBFS
0.416,rms_dbfs,-24.659605026245117,dBFS
0.448,rms_dbfs,-24.654743194580078,dBFS
0.48,rms_dbfs,-24.648727416992188,dBFS
0.512,rms_dbfs,-24.644243240356445,dBFS
0.544,rms_dbfs,-24.64354705810547,dBFS
0.576,rms_dbfs,-24.64594078063965,dBFS
0.608,rms_dbfs,-24.647869110107422,dBFS
0.64,rms_dbfs,-24.65017318725586,dBFS
0.672,rms_dbfs,-24.656036376953125,dBFS
0.704,rms_dbfs,-24.66317367553711,dBFS
0.736,rms_dbfs,-24.666725158691406,dBFS
0.768,rms_dbfs,-24.664958953857422,dBFS
0.8,rms_dbfs,-24.65864372253418,dBFS
0.832,rms_dbfs,-24.651763916015625,dBFS
0.864,rms_dbfs,-24.64842987060547,dBFS
0.872,rms_dbfs,-24.656036376953125,dBFS
0.0,spl_a_db,-29.67119536882715,dBA
0.032,spl_a_db,-29.68066356792186,dBA
0.064,spl_a_db,-29.683686398167524,dBA
0.096,spl_a_db,-29.680968638956298,dBA
0.128,spl_a_db,-31.27986286846361,dBA
0.16,spl_a_db,-31.27665316110695,dBA
0.192,spl_a_db,-31.272227197103092,dBA
0.224,spl_a_db,-31.255492754006937,dBA
0.256,spl_a_db,-31.254317847183387,dBA
0.288,spl_a_db,-31.276586398141323,dBA
0.32,spl_a_db,-31.29337388944803,dBA
0.352,spl_a_db,-31.295437141327405,dBA
0.384,spl_a_db,-31.28417276593016,dBA
0.416,spl_a_db,-31.260604309861492,dBA
0.448,spl_a_db,-31.251745592320134,dBA
0.48,spl_a_db,-31.26702712158247,dBA
0.512,spl_a_db,-31.276577268063935,dBA
0.544,spl_a_db,-31.277491971272163,dBA
0.576,spl_a_db,-31.287454651211025,dBA
0.608,spl_a_db,-31.29531819107345,dBA
0.64,spl_a_db,-31.29295711961936,dBA
0.672,spl_a_db,-31.28384948749803,dBA
0.704,spl_a_db,-31.259608255874074,dBA
0.736,spl_a_db,-31.237807068634936,dBA
0.768,spl_a_db,-31.249749173851555,dBA
0.8,spl_a_db,-31.27732401598665,dBA
0.832,spl_a_db,-31.290921995013964,dBA
0.864,spl_a_db,-31.295307468996132,dBA
0.872,spl_a_db,-31.28384948749803,dBA
0.0,snr_db,0.4196338653564453,dB
0.032,snr_db,0.4196338653564453,dB
0.064,snr_db,0.4196338653564453,dB
0.096,snr_db,0.4196338653564453,dB
0.128,snr_db,0.4196338653564453,dB
0.16,snr_db,0.4196338653564453,dB
0.192,snr_db,0.4196338653564453,dB
0.224,snr_db,0.4196338653564453,dB
0.256,snr_db,0.4196338653564453,dB
0.288,snr_db,0.4196338653564453,dB
0.32,snr_db,0.4196338653564453,dB
0.352,snr_db,0.4196338653564453,dB
0.384,snr_db,0.4196338653564453,dB
0.416,snr_db,0.4196338653564453,dB
0.448,snr_db,0.4196338653564453,dB
0.48,snr_db,0.4196338653564453,dB
0.512,snr_db,0.4196338653564453,dB
0.544,snr_db,0.4196338653564453,dB
0.576,snr_db,0.4196338653564453,dB
0.608,snr_db,0.4196338653564453,dB
0.64,snr_db,0.4196338653564453,dB
0.672,snr_db,0.4196338653564453,dB
0.704,snr_db,0.4196338653564453,dB
0.736,snr_db,0.4196338653564453,dB
0.768,snr_db,0.4196338653564453,dB
0.8,snr_db,0.4196338653564453,dB
0.832,snr_db,0.4196338653564453,dB
0.864,snr_db,0.4196338653564453,dB
0.872,snr_db,0.4196338653564453,dB
0.064,novelty_curve,0.0,a.u.
0.096,novelty_curve,0.4495396912097931,a.u.
0.128,novelty_curve,0.33810579776763916,a.u.
0.16,novelty_curve,0.0007957667112350464,a.u.
0.192,novelty_curve,0.0013413280248641968,a.u.
0.224,novelty_curve,9.759398380992934e-05,a.u.
0.256,novelty_curve,4.233280924381688e-05,a.u.
0.288,novelty_curve,9.86230734270066e-05,a.u.
0.32,novelty_curve,2.8058335374225862e-05,a.u.
0.352,novelty_curve,5.372081068344414e-05,a.u.
0.384,novelty_curve,5.122745642438531e-05,a.u.
0.416,novelty_curve,7.431194262608187e-06,a.u.
0.448,novelty_curve,4.55711196991615e-05,a.u.
0.48,novelty_curve,4.962642560712993e-05,a.u.
0.512,novelty_curve,5.471088661579415e-05,a.u.
0.544,novelty_curve,5.045249417889863e-05,a.u.
0.576,novelty_curve,9.589862020220608e-05,a.u.
0.608,novelty_curve,4.80434755445458e-05,a.u.
0.64,novelty_curve,0.00011718655878212303,a.u.
0.672,novelty_curve,5.611515371128917e-05,a.u.
0.704,novelty_curve,0.00012553059787023813,a.u.
0.736,novelty_curve,7.148153963498771e-05,a.u.
0.768,novelty_curve,0.00012310330930631608,a.u.
0.8,novelty_curve,6.967547233216465e-05,a.u.
0.832,novelty_curve,0.00015007976617198437,a.u.
0.864,novelty_curve,4.674026422435418e-05,a.u.
0.896,novelty_curve,0.0001454135635867715,a.u.
0.928,novelty_curve,6.576070154551417e-05,a.u.
